race_id,year,circuit_name,driver_code,team,lap_number,position,lap_time_s,sector1_s,sector2_s,sector3_s,compound,tyre_age_laps,stint_id,pit_in_flag,pit_out_flag,safety_car_flag,virtual_sc_flag,grid_position,finish_position,pit_stop_duration_s,meteo_temp_c_annual_med,meteo_wind_ms_annual_med,lap_time_s_lag1,lap_time_s_lag2,lap_time_s_lag3,delta_lap_vs_prev,avg_last_3_laps,pit_in_next2
2024_bahrain,2024,Bahrain,ALB,Williams,43,15.0,95.766,30.76,41.472,23.534,HARD,7.0,3,0,0,0,0,13.0,15.0,,28.9,14.8,95.799,95.885,95.723,-0.03300000000000125,95.80233333333335,0
2024_bahrain,2024,Bahrain,ALB,Williams,44,15.0,95.783,30.683,41.497,23.603,HARD,8.0,3,0,0,0,0,13.0,15.0,,28.9,14.8,95.766,95.799,95.885,0.016999999999995907,95.81666666666666,0
2024_bahrain,2024,Bahrain,ALB,Williams,45,15.0,95.758,30.607,41.495,23.656,HARD,9.0,3,0,0,0,0,13.0,15.0,,28.9,14.8,95.783,95.766,95.799,-0.025000000000005684,95.78266666666667,0
2024_bahrain,2024,Bahrain,ALB,Williams,46,15.0,96.008,30.685,41.635,23.688,HARD,10.0,3,0,0,0,0,13.0,15.0,,28.9,14.8,95.758,95.783,95.766,0.25,95.769,0
2024_bahrain,2024,Bahrain,ALB,Williams,47,15.0,96.026,30.827,41.57,23.629,HARD,11.0,3,0,0,0,0,13.0,15.0,,28.9,14.8,96.008,95.758,95.783,0.018000000000000682,95.84966666666666,0
2024_bahrain,2024,Bahrain,ALB,Williams,48,15.0,96.135,30.823,41.628,23.684,HARD,12.0,3,0,0,0,0,13.0,15.0,,28.9,14.8,96.026,96.008,95.758,0.10900000000000887,95.93066666666665,0
2024_bahrain,2024,Bahrain,ALB,Williams,49,15.0,97.102,30.816,42.435,23.851,HARD,13.0,3,0,0,0,0,13.0,15.0,,28.9,14.8,96.135,96.026,96.008,0.9669999999999987,96.05633333333333,0
2024_bahrain,2024,Bahrain,ALB,Williams,50,15.0,97.616,31.683,42.121,23.812,HARD,14.0,3,0,0,0,0,13.0,15.0,,28.9,14.8,97.102,96.135,96.026,0.5139999999999958,96.421,0
2024_bahrain,2024,Bahrain,ALB,Williams,51,15.0,97.493,30.773,42.878,23.842,HARD,15.0,3,0,0,0,0,13.0,15.0,,28.9,14.8,97.616,97.102,96.135,-0.12300000000000466,96.95100000000001,0
2024_bahrain,2024,Bahrain,ALB,Williams,52,15.0,96.218,30.895,41.58,23.743,HARD,16.0,3,0,0,0,0,13.0,15.0,,28.9,14.8,97.493,97.616,97.102,-1.2749999999999915,97.40366666666667,0
2024_bahrain,2024,Bahrain,ALB,Williams,53,15.0,96.308,30.817,41.683,23.808,HARD,17.0,3,0,0,0,0,13.0,15.0,,28.9,14.8,96.218,97.493,97.616,0.09000000000000341,97.109,0
2024_bahrain,2024,Bahrain,ALB,Williams,54,15.0,96.334,30.799,41.741,23.794,HARD,18.0,3,0,0,0,0,13.0,15.0,,28.9,14.8,96.308,96.218,97.493,0.02599999999999625,96.673,0
2024_bahrain,2024,Bahrain,ALB,Williams,55,15.0,96.593,30.861,41.91,23.822,HARD,19.0,3,0,0,0,0,13.0,15.0,,28.9,14.8,96.334,96.308,96.218,0.25900000000000034,96.28666666666668,0
2024_bahrain,2024,Bahrain,ALB,Williams,56,15.0,96.922,30.875,42.085,23.962,HARD,20.0,3,0,0,0,0,13.0,15.0,,28.9,14.8,96.593,96.334,96.308,0.3289999999999935,96.41166666666668,0
2024_bahrain,2024,Bahrain,ALO,Aston Martin,1,6.0,101.679,,43.268,24.162,SOFT,4.0,1,0,0,0,0,6.0,9.0,,28.9,14.8,,,,,,0
2024_bahrain,2024,Bahrain,ALO,Aston Martin,2,6.0,98.02,31.203,42.896,23.921,SOFT,5.0,1,0,0,0,0,6.0,9.0,,28.9,14.8,101.679,,,-3.659000000000006,101.679,0
2024_bahrain,2024,Bahrain,ALO,Aston Martin,3,7.0,99.046,32.068,42.719,24.259,SOFT,6.0,1,0,0,0,0,6.0,9.0,,28.9,14.8,98.02,101.679,,1.0260000000000105,99.8495,0
2024_bahrain,2024,Bahrain,ALO,Aston Martin,4,7.0,97.776,30.951,42.58,24.245,SOFT,7.0,1,0,0,0,0,6.0,9.0,,28.9,14.8,99.046,98.02,101.679,-1.2700000000000102,99.58166666666666,0
2024_bahrain,2024,Bahrain,ALO,Aston Martin,5,8.0,99.292,32.063,42.806,24.423,SOFT,8.0,1,0,0,0,0,6.0,9.0,,28.9,14.8,97.776,99.046,98.02,1.5160000000000053,98.28066666666666,0
2024_bahrain,2024,Bahrain,ALO,Aston Martin,6,8.0,98.053,31.076,42.676,24.301,SOFT,9.0,1,0,0,0,0,6.0,9.0,,28.9,14.8,99.292,97.776,99.046,-1.2390000000000043,98.70466666666665,0
2024_bahrain,2024,Bahrain,ALO,Aston Martin,7,8.0,98.008,30.905,42.7,24.403,SOFT,10.0,1,0,0,0,0,6.0,9.0,,28.9,14.8,98.053,99.292,97.776,-0.045000000000001705,98.37366666666667,0
2024_bahrain,2024,Bahrain,ALO,Aston Martin,8,8.0,98.103,31.024,42.689,24.39,SOFT,11.0,1,0,0,0,0,6.0,9.0,,28.9,14.8,98.008,98.053,99.292,0.09499999999999886,98.45099999999998,0
2024_bahrain,2024,Bahrain,ALO,Aston Martin,9,8.0,98.896,31.464,43.036,24.396,SOFT,12.0,1,0,0,0,0,6.0,9.0,,28.9,14.8,98.103,98.008,98.053,0.7930000000000064,98.05466666666666,0
2024_bahrain,2024,Bahrain,ALO,Aston Martin,10,9.0,99.325,31.635,43.162,24.528,SOFT,13.0,1,0,0,0,0,6.0,9.0,,28.9,14.8,98.896,98.103,98.008,0.42900000000000205,98.33566666666667,0
2024_bahrain,2024,Bahrain,ALO,Aston Martin,11,9.0,98.554,31.043,42.972,24.539,SOFT,14.0,1,0,0,0,0,6.0,9.0,,28.9,14.8,99.325,98.896,98.103,-0.7710000000000008,98.77466666666668,0
2024_bahrain,2024,Bahrain,ALO,Aston Martin,12,6.0,98.543,30.932,43.035,24.576,SOFT,15.0,1,0,0,0,0,6.0,9.0,,28.9,14.8,98.554,99.325,98.896,-0.01099999999999568,98.92500000000001,0
